text,labels
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,7
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",0
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,3
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",7
California earthquake: California Earthquake:  http,7
Napa Valley 2014 earthquake – Damage to vineyards   http,3
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",5
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,7
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,0
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,7
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",8
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,7
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",3
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",0
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,8
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",7
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",5
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),7
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",0
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",4
Stark before and after photos show extent of  damage. http http,3
Earthquake death toll reaches 355,0
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",3
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,4
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,7
"""@BRP_Official: Two women killed in security forces laid landmine blast in Dera Bugti. BRP Media Cell http",0
"120 injured, 3 critical after Napa, California quake: The quake is the strongest to hit the region ... http U S A News",0
California quake damages historic buildings http,3
"If Big Show &amp;  ""running"" didn't cause a massive earthquake in California, nothing will. R A W Tonight",7
"USGS reports a M1.4  41km NE of Sutton-Alpine, Alaska on 9/26/13 @ 6:58:32 UTC http",7
"Remember Dr Tu Q when he said Vote4 None, well India's SC will add this box on the ballot paper. Wakeup Pakistan Rise Pakistan Pakistan",8
Earthquake rocks northern California http,7
ABC World News Now Deadly Earthquake Strikes Off Chile's Coast | Watch: http,0
WATCH LIVE: Get the latest details on the South Napa Earthquake on ABC7 News at 11 p.m. Watch now: http,7
"Tsunami Advisory, no evacuation. City advises to stay away from shores 3 to 8 am. H Inews  Chile Quake",5
Local officials estimated Monday that Napa Valley suffered $1 billion in property damage from Sunday's earthquake. http,3
Join us for the Non Stop Relief4 Balochistan for our brothers in Awaran. Earthquake http,4
hoping the best for those affected by the napa earthquake pensive face have to shoutout the  for ending with this line: ht…,6
.@SBDave and I are reviewing our  plan. Learning that the plan and reality are not in sync. http,7
"4.7 earthquake, West Chile Rise. Apr 4 02:53 at epicenter (32m ago, 1294km Valdivia, depth 10km). http",7
Magnitude 6.8  strikes off southern coast of Peru http,7
"6.0 earthquake recorded in Napa, California. Wine country. My friend and her husband were not so lucky.",7
Massive Earthquake Leaves At Least 271 Dead In Pakistan http,0
Sleep-Tracking Data Shows Who Was Jolted Awake By The Napa Earthquake | Fast Company | Business + Innovation http,7
Quake is major test for hard-luck California city (from  http,7
"NEW  PERU, M7.0, 11:42a CT today, much damage, no casualties report yet - seismogram http",3
"Earthquake: M 2.9 - 8km SW of Napa, California: DYFI? - IIITime2014-08-26 00:02:34 UTC2014-08-25 17:02:34 -07:... http",5
The old  library    http,7
Let's show our solidarity w earthquake + wildfire victims in Chile. Donate http T E C H O S V A L P O http,4
Some roads in downtown Napa closed due to earthquake damage.  with more,3
6.0 quake hits California Nice front page from .@NapaRegister epicenter of the  http,8
"USGS reports a M4.7  24km NW of Kalumpang, Indonesia on 9/29/13 @ 0:20:03 UTC http",7
While Earthquake effected areas of Balochistan yearn for relief but  continue to target  helicopters with rockets!,4
The 8.2 earthquake in Chile allowed 300 women inmates to escape prison. There are 300 crazy women roaming the streets.,7
"Thanks to the Napa earthquake, explained the geo-cultural differences in winecellar design between France vs. Italy/Greece many times today.",7
Pray For Chile and all those lives that are being affected by the aftermath two hearts,6
K K F Send Relief Goods For Balochistan Earthquake Victims Relief By K K F M Q M http,4
"Northern California had an earthquake, now Southern California had a bigger one.  ?  Emmys",5
UPDATE: Chile's interior minister says death toll has risen to 5 after powerful magnitude-8.2 earthquake http,0
More: upto 120 seriously wounded by Earthquake in Awaran and other parts of Balochistan are to be shifted to Karachi,0
Lemons from lemonade… MT  Napa skaters finding upside to quake damage. Photo from Jeremy Carroll http,8
The estimated time of arrival of the initial  wave in Hawaii is 324am HST. Earthquake Chile,5
More than 100 hurt after 6.1-magnitude quake hits Northern California.,0
"Oh damn, an 8.3 magnitude earthquake? confused faceconfounded face AND a tsunami warning? Keeping Chile in my thoughts for the remainder of the night..",6
More awesome  from  Everything you need to know about the Pakistan earthquake in under 6 minutes http,7
NEWS CONFERENCE: City officials assess damage following Napa quake: City officials assess damage following Napa... http,3
"California is so chill, they just has a huge earthquake and they're like http",7
Northern California Quake: No Way to Know When Next On... http via  U S A Headlines http,7
"Earthquake M 5.4, 125km W of Attu Station, Alaska: Wednesday, September 25, 2013 13:58:14 UTCThursday, Septem... http",7
The science of the Chile Megaquake via  http,7
"(#LosDelSonido) This Is What Northern California Looks Like After Quake: Cracked streets, homes on fire, and crumbled b...  (#Oye_Victor)",3
That Earthquake in Chile was not playing now I hear that Mexico could be in a warning like wtf...........PRAYFORLATINA…,7
California USA Oakland » http   941 Northern California rocked by magnitude 6.0 earthquake ea…,7
Strongest Earthquake in 25 Years Hits Northern California http,7
"A 1.1 magnitude earthquake occurred 6.21mi ESE of Wrightwood, California. Details: http Map: http",7
Stay Safe Pakistan! Earthquake  Balochistan,6
Thank you so much i'm chileanheart suit,8
Pakistan is in our thoughts as they recover from the earthquake. The remoteness of affected communities highlights the need for resiliencefolded hands,6
"(#LosDelSonido) N. California Earthquake Damage Could Reach $1B: Northern California is cleaning up, one day after suff...  (#IvanBerroa)",3
Updated  172 injuries. Confirmed 6.1 mag. Still some in Napa Cty without power.,0
Skateboarding atop an earthquake-damaged street is the most California thing to ever happen. http,3
Napa earthquake hastens calls for warning system http   news,5
"Evacuations after the massive  in Iquique, Chile http",2
Napa region wading in  damage from quake Wine Wednesday - http,3
State of Emergency Declared After California Earthquake http,7
"Chile : For all BREAKING Updates About the Chile Earthquake ,And all Breaking news M H370 Russia Ukraine Crimea ,Follow...  .",7
US U S_ News California   W A R N I N G California Earthquake Spurs Calls for Statewide Warning System http,5
California earthquake strikes San Francisco Bay area - BBC News http,7
Menlo Park-based USGS issues update on the West Napa earthquake that ... - InMenlo http,7
Oh how much I feel this! N U S T Earthquake  http,8
"Napa city officials say despite quake damage, they're still open for business this Labor Day weekend http",3
Welcome back. Was wondering if you got stuck in California with the earthquake.,8
-Update: More than 20 killed in another powerful 7.2 magnitude earthquake in Nokjo area of Mashkay Balochistan. Death toll feared to rise.,0
Pakistan Earthquake Was So Powerful It Created a New Island http,7
"Quake rocks California wine country, dozens injured: NAPA Calif. (Reuters) - A 6.0 magnitude earthquake rocked wine country north of ...",0
"Earthquake Sismo M 2.2 - 0km SSE of Green Valley, California: DYFI? - ITime2014-08-28 14:05:22 UTC2014-08-28... http",7
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,2
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,6
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,0
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",7
"While Pray For Chile is a good idea , any one went to go down there and actually help",6
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,7
The Latest on the Napa Earthquake http,7
Chile’s earthquakes  http,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",7
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",3
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,6
Northern California earthquake the strongest in 25 years http,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,7
6.0-magnitude quake strikes Northern California http,7
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,4
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,3
State of Emergency declared after California earthquake http,5
It's a natural thing.,8
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",7
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,6
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,7
God Sends Earthquake Because California Ship Work…: http,7
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,5
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,0
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,6
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",7
Earthquake May Allah have mercy and give strength to all victims and families.,6
"For the bereaved and injured in Kenya and Pakistan Holy Spirit Divine, please console and comfort in Jesus name! Europa Afri…",6
"After Chile Quake, Hawaii Told to Prepare for Potential Tsunami: Widespread evacuations were under way Tuesday... http",2
Alabama USA Birmingham http BREAKING NEWS 778 Earthquake State of Emergency Declared After California Eart…,7
and help our neighbors who lost so much !   http,4
"at the same time, let's not forget to also Prayfor Chile : Chile Fights Historic Battle Against Mammoth Wildfires http",6
Sending good thoughts to Guild friend Steve Matthiasson and anyone else affected “@matthiassonwine:  http,6
The California attitude towards earthquakes - spirit of Napa   http,7
"Is there a  camp, some way to help out people in",4
BREAKING PHOTO: Evacuations taking place in Chile after 8.2 magnitude quake hits. Tsunami warning in effect. http,2
Iranian media says police shot and killed a  shortly before entering police H Q in Balochistan's port town of Chabahar.,8
"New Earthquake Magnitude 2.9, Tuesday, October 1 2013 at 11:19:01 pm (NZDT), 5 km south-east of Seddon: Public... http",7
Damage to US Post Office bldg on Second St. Napa. Homeless sleeping inside were hit with debris.  http,3
• http • Earthquake Earthquake Today Earthquake California Napa earthquake California Earthquake … http,7
▼2Apr AFP｜Chileans return homes after huge quake kills 6 http    Chile Chili Cile,0
"Small aftershock strikes Napa, California; no injuries or damage reported. U.S. Geological Survey says magnitude of  was 3.9.",0
The Napa Earthquake by the Numbers http,7
"Northern California Hit By Strongest Earthquake In 25 Years, More Than 100 Injuries Reported http",0
A really excellent animation of the recent sequence of earthquakes off the coast of Chile ... http …,7
Balochistan Earthquake victims complaining bout missing trucks carrying relief goods.#MyPakistan,4
Rehearsal time w/  &amp; Team Deb for  H I T P A R A D E &amp;      http,8
California USA Concord » http   186 Northern California rattled by magnitude-6.0 earthquake. Do…,7
BREAKING: Northern California rocked by magnitude 6.0 earthquake - Fox News: Fox NewsNorthe... http Khaatumo Khatumo,7
California earthquake strikes San Francisco Bay area http,7
"Damn, second big earthquake in Chile back to back, but then again that's an earthquake prone region.",7
